"X","Y","OBJECTID","NAME","ADDRESS","PHONENUMBER","WEBSITE","FACEBOOK","TWITTER","SPORTSHALL","HALL","STAGE","MEETINGROOMS","WIFI","COFFEEDOCK","ITFACILITIES","CHILDCARECRECHE","PARKING","DISABILITYACCESS","OUTDOORFACILITIES","PLAYAREA","SUMMARYACTIVITIES","Creator","CreationDate","Editor","EditorDate","SDCCOwned","PrimaryActivity","EMAIL","LAT","LONG"
"708960.605","735259.075999999","4834","PALMERSTOWN RANGERS SPORTS & LEISURE LTD.","MILL LANE, DUBLIN 20","+353","http://palmerstownrangersfc.50webs.com/index.html","","","No","No","No","No","No","No","No","No","No","No","No","No","OPERATION OF SPORTS FACILITIES","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.35630234","-6.36318416"
"713960.482","726211.040999999","4835","EDMONDSTOWN GOLF COURSE","EDMONDSTOWN ROAD, DUBLIN 16","+353 1 493 1082","http://www.edmondstowngolfclub.ie","http://www.facebook.com/","@","No","No","No","Yes","No","Yes","No","No","Yes","No","Yes","No","OPERATION OF SPORTS FACILITIES","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.27397072","-6.29136130"
"706893.669","730964.207","4836","ROUND TOWERS GAA","CONVENT ROAD, DUBLIN 22","+353 1 4592960","http://roundtower.ie/","","","No","No","No","No","No","No","No","No","No","No","No","No","GAA  SPORT CLUB","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.31814145","-6.39566928"
"701597.431","734605.17","4838","LUCAN GOLF CLUB","CELBRIDGE ROAD, LUCAN, CO. DUBLIN","(01) 628 0246","http://www.lucangolfclub.ie/","http://www.facebook.com/","@","No","No","No","No","No","No","No","No","No","No","No","No","Golf Club","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.35189321","-6.47395972"
"707450.64","727807.137","4840","SAINT MARK'S GAA CLUB","MCGEE PARK, COOKSTOWN ROAD, DUBLIN 24","+353 1 452 1609","http://www.stmarksgaa.ie/","","","No","No","No","No","No","No","No","No","No","No","No","No","GAA Football Club","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.28966746","-6.38838199"
"707293.696","727421.607999999","4841","MARK'S CELTIC FOOTBALL CLUB","MAPLEWOOD ROAD, DUBLIN 24","+353","http://www.markscelticfc.com/","http://www.facebook.com/","@","No","No","No","No","No","No","No","No","No","No","No","No","Soccer, football, fitness","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.28623585","-6.39086509"
"709293.803","725945.161","4842","Thomas Davis GAA Club","THOMAS DAVIS G.A.A CLUB, KILTIPPER ROAD, DUBLIN 24","","http://www.thomasdavisgaa.ie","","","No","Yes","No","Yes","No","Yes","No","No","Yes","Yes","No","No","GAA Sports","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.27256401","-6.36138936"
"709274.03","725832.179","4843","GLENVILLE PITCH AND PUTT COURSE","KILTIPPER ROAD, DUBLIN 24","(01) 4519916","http://www.glenvillepitchandputtclub.com/","http://www.facebook.com/","@","No","No","No","No","No","No","No","No","No","No","No","No","Pitch and Putt","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","No","SportsRecreationClubs","glenvillepnp@gmail.com","+53.27155312","-6.36172449"
"709636.651","725641.549000001","4844","Saint Anne's GAA Club","SAINT ANNE'S G.A.A. CLUB, BOHERNABREENA ROAD, BOHERNABREENA, CO. DUBLIN","451 0372","http://www.stannesgaa.com","","","No","Yes","No","No","No","Yes","No","No","Yes","No","No","No","GAA Club Sports","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.26976583","-6.35635609"
"702592.095","727118.509","4849","COMMERCIALS GAA CLUB","COLLEGE LANE, NEWCASTLE ROAD, RATHCOOLE, CO. DUBLIN","+353","http://www.commercialshurlingclub.gaa.ie","","","No","No","No","","No","No","No","No","No","No","Yes","No","GAA Club - Hurling Club","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","No","SportsRecreationClubs","","+53.28444320","-6.46144659"
"703883.749","726590.397","4850","St. Marys GAA Club","SAINT MARY'S G.A.A. CLUB, PÁIRC MHUIRE, SAGGART, CO. DUBLIN","4589099","http://www.stmaryssaggart.com/","","","No","Yes","No","Yes","No","Yes","No","No","Yes","No","Yes","No","GAA Club Sports","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.27944739","-6.44225628"
"712852.997","725635.892000001","4854","RATHFARNHAM GOLF CLUB","STOCKING LANE, DUBLIN 16","+3531 493 1201","http://www.rathfarnhamgolfclub.ie","http://www.facebook.com/","@","No","No","No","Yes","No","Yes","No","No","No","No","No","No","Golf","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.26904079","-6.30816218"
"702010.258","723993.254000001","4855","SLADE VALLEY GOLF CLUB","SLADEVALLEY, BRITTAS, DUBLIN 24","(01) 458 2183","http://www.sladevalleygolfclub.ie/","http://www.facebook.com/","@","No","No","No","No","No","No","No","No","No","No","No","No","Golf Club","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.25647864","-6.47117104"
"701741.903","731149.450999999","4856","NEWCASTLE GOLF CENTRE","PEAMOUNT LANE, NEWCASTLE, CO. DUBLIN","01 6210201","http://www.newcastlegolfcentredublin.com/","http://www.facebook.com/","@","No","No","No","No","No","No","No","No","No","No","No","No","GOLF CENTRE","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.32082015","-6.47290010"
"702875.7497","732362.6631","4858","LUCAN PITCH & PUTT","12TH LOCK NEWCASTLE ROAD, LUCAN, CO. DUBLIN","01 6281570","http://www.lucanpitchandputt.com/","","","No","No","No","No","No","No","No","No","No","No","No","No","OPERATION OF SPORTS FACILITIES","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.33150027","-6.45549467"
"701834.47","726369.239","4859","RATHCOOLE BOY'S FOOTBALL CLUB","MAIN ROAD, FOREST HILLS, RATHCOOLE, CO. DUBLIN","","http://www.rathcooleboysfc.com/","","","No","No","No","No","No","No","No","No","No","No","No","No","Football Soccer","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.27785789","-6.47304411"
"700200.37","724341.470000001","4860","BEECH PARK GOLF CLUB","KILTEEL ROAD, JOHNSTOWN, RATHCOOLE, CO. DUBLIN","353 (0)1 458 0522","http://www.beechpark.ie/","http://www.facebook.com/","@","No","No","No","No","No","No","No","No","No","No","No","No","ACTIVITIES OF SPORT CLUBS","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","Sports and Recreation Clubs","","+53.25995167","-6.49817595"
"709259.8431","724938.122199999","4861","BOHERNABREENA PITCH AND PUTT","BOHERNABREENA, CO. DUBLIN","0876241944","http://www.bohernabreenapitchandputt.com","https://www.facebook.com/Bohernabreena-Pitch-and-Putt-154071587948341/","@","No","No","No","No","No","No","No","No","No","No","No","No","Pitch and Putt, Golf","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.26352440","-6.36224410"
"708364.695","723454.768999999","4862","fOOTEE","BALLINASCORNEY LOWER, CO. DUBLIN","0873952548","http://footee.ie/","http://www.facebook.com/","@","No","No","No","No","No","No","No","No","No","No","No","No","Football","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","No","SportsRecreationClubs","","+53.25038228","-6.37616092"
"704763.581","729269.966","4863","SAINT FRANCIS FOOTBALL CLUB","BALDONNELL LOWER, CLONDALKIN, DUBLIN 22","","http://www.stfrancisfcseniors.com/","","","No","No","No","No","No","No","No","No","No","No","No","No","ACTIVITIES OF SPORT CLUBS","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","Sports and Recreation Clubs","","+53.30334662","-6.42818502"
"707169.788","729907.312999999","4864","NEWLANDS GOLF CLUB","BELGARD ROAD, DUBLIN 22","353 1 459 3157","http://www.newlandsgolfclub.com/","http://www.facebook.com/","@","No","No","No","No","No","No","No","No","No","No","No","No","GOLF CLUB","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.30859113","-6.39188385"
"705463.0661","728858.305500001","4867","CLONDALKIN RUGBY FOOTBALL CLUB","GORDON PARK, KINGSWOOD CROSS, DUBLIN 22","","http://clondalkinrugby.com/pages/","","","No","No","No","No","No","No","No","No","No","No","No","No","RUGBY SPORT CLUBS","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.29950972","-6.41783142"
"713258.027","724726.461999999","4868","WANDERERS G.A.A. CLUB","Frank Kelly Park, MOUNT VENUS ROAD, DUBLIN 16","","http://www.wanderersgaa.ie/","","","No","Yes","No","Yes","No","No","No","No","No","No","Yes","No","GAA Club","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","No","SportsRecreationClubs","","+53.26078500","-6.30241675"
"705717.901","735971.021","4872","HERMITAGE GOLF CLUB","LUCAN, CO. DUBLIN","353 (0)1 6268491","http://www.hermitagegolf.ie/","http://www.facebook.com/","@","No","No","No","No","No","No","No","No","No","No","No","No","Golf Club","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.36335602","-6.41163765"
"702688.71","732379.630999999","4873","LUCAN SARSFIELDS GAA","NEWCASTLE ROAD, LUCAN, CO. DUBLIN","","http://www.lucansarsfields.ie/","","","No","Yes","No","Yes","No","Yes","No","No","No","No","Yes","No","GAA Club Sports","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","No","SportsRecreationClubs","","+53.33168902","-6.45829614"
"701556.574","735671.971000001","4875","LIFFEY VALLEY PAR THREE","LUCAN ROAD, LEIXLIP, CO. DUBLIN","01-6219514","http://liffeyvalleypar3golf.com/","http://www.facebook.com/","@","No","No","No","No","No","No","No","No","No","No","No","No","Golf","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","clubhouse@liffeyvalleypar3golf.com","+53.36148490","-6.47423084"
"706431.539","725947.037","4877","HAZELGROVE GOLF CLUB","KILTALOWN, TALLAGHT, DUBLIN 24","01 452 0911","http://www.hazelgrove.ie/","","","No","No","No","No","No","No","No","No","No","No","No","No","Golf","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","No","SportsRecreationClubs","hazlegrovegolfclub@gmail.com","+53.27316270","-6.40428336"
"700918.126","729042.023","4881","SAINT FINIAN'S GAA CLUB","AYLMER ROAD, NEWCASTLE, CO. DUBLIN","","http://www.stfiniansnewcastle.ie/","","","No","No","No","No","No","No","No","No","No","No","No","No","GAA Sport Fitness","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.30204495","-6.48593006"
"702039.353","724982.023","4883","SAGGART PITCH AND PUTT","COOLMINE, SAGGART, CO. DUBLIN","353 (01) 4589591","http://saggartpitchandputt.com/","http://www.facebook.com/","@","No","No","No","No","No","No","No","No","No","No","No","No","ACTIVITIES OF SPORT CLUBS","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","Sports and Recreation Clubs","","+53.26535601","-6.47041819"
"708935.748","725835.700999999","4884","AN POST SPORTS AND SOCIAL CLUB","THE ANDY MOORE MEMORIAL SPORTS CLUB, KILTIPPER ROAD, DUBLIN 24","01 4626323","http://www.postal.ie/","http://www.facebook.com/","@","Yes","No","No","Yes","No","Yes","No","No","No","No","Yes","No","SPORT CLUBS","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","No","SportsRecreationClubs","info@postal.ie","+53.27165432","-6.36679267"
"705397.7","730023.800000001","4887","CORKAGH PARK FISHING CLUB","CORKAGH DEMESNE, DUBLIN 22","4592625","http://corkaghparkfishery.blogspot.ie/2011/01/welcome-to-corkagh-park-fishery.htm","","","No","No","No","No","No","No","No","No","No","No","No","No","ACTIVITIES OF SPORT CLUBS","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","Sports and Recreation Clubs","","+53.30999301","-6.41842471"
"704226.666","721505.203","4890","DUBLIN MOUNTAIN GOLF CLUB","BRITTAS, CO. DUBLIN","014582622","http://www.dublinmountaingolf.com/","http://www.facebook.com/","@","No","No","No","No","No","No","No","No","No","No","No","No","Golf","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.23369617","-6.43878101"
"701972.7","734376.6","4892","LUCAN UNITED SOCCER CLUB","LUCAN UNITED CLUBHOUSE, AIRLIE HEIGHTS, LUCAN, CO. DUBLIN","","http://www.lucanunitedfc.yourclub.ie/","http://www.facebook.com/","@","No","No","No","No","No","No","No","No","No","No","No","No","Football, Soccer, Sports","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.34976761","-6.46839883"
"706458.032","733158.054","4899","NEILSTOWN BOXING CLUB","UNIT 12, NEILSTOWN ROAD, DUBLIN 22","Eircode D22Y9W9","","https://www.facebook.com/Neilstown-Boxing-Club-188181067860910/timeline/","","No","No","No","No","No","No","No","No","No","No","No","No","ACTIVITIES OF SPORT CLUBS","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","Sports and Recreation Clubs","","+53.33793751","-6.40146812"
"710732.772","727635.861","4902","EMERALD WARRIORS FOOTBALL CLUB","UNIT 3, BOLBROOK ENTERPRISE CENTRE, AVONMORE ROAD, DUBLIN 24","+353","http://","http://www.facebook.com/","@","No","No","No","No","No","No","No","No","No","No","No","No","ACTIVITIES OF SPORT CLUBS","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","Sports and Recreation Clubs","","+53.28745365","-6.33923634"
"709585.7691","728012.174699999","4912","MAELRUANS FOOTBALL CLUB","GREENHILLS ROAD, DUBLIN 24","","","","","No","No","No","No","No","No","No","No","No","No","No","No","Soccer Club Sports","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.29107245","-6.35630145"
"709588.0","728023.4","4913","TALLAGHT ATHLETIC CLUB","GREENHILLS ROAD, DUBLIN 24","4514844","http://www.tallaghtac.ie/","","","No","No","No","No","No","No","No","No","No","No","No","No","Athlethics Club Sports","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.29117283","-6.35626413"
"708228.591","728280.984999999","4915","KILNAMANAGH BOXING CLUB","UNIT 42, THIRD AVENUE, COOKSTOWN INDUSTRIAL ESTATE, DUBLIN 24","","","https://www.facebook.com/kilnamanagh.boxingclub","","No","No","No","No","No","No","No","No","No","No","No","No","Boxing Club","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.29376602","-6.37655745"
"710697.499","726384.461999999","4918","FIRHOUSE CARMEL FOOTBALL CLUB","BALLYCULLEN DRIVE, DUBLIN 24","","http://www.firhousecarmel.com","","","No","No","No","No","No","No","No","No","No","No","No","No","ACTIVITIES OF SPORT CLUBS","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","Sports and Recreation Clubs","","+53.27621939","-6.34020086"
"711607.623","727265.327","4919","MODEL RAILWAY CLUB","OLD KNOCKLYON ROAD, DUBLIN 16","","sdmrc.hobbysites.net","","@","No","No","No","No","No","No","No","No","No","No","No","No","Model Railway Community Club","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.28394169","-6.32625160"
"713556.793","726933.959000001","4920","SAINT JOSEPH'S AMATURE BOXING CLUB","BALLYBODEN ROAD, DUBLIN 16","","http://www.stjosephsboxing.com","www.facebook.com/stjosephsboxing","","No","Yes","No","No","No","No","No","No","No","No","No","No","Boxing Club","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.28055128","-6.29715283"
"714270.56","728289.914999999","4922","LORETO HOCKEY CLUB","LORETO HIGH SCHOOL, GRANGE ROAD, DUBLIN 14","+353","http://www.loretohockeyclub.ie/","","","No","No","No","No","No","No","No","No","No","No","No","No","ACTIVITIES OF SPORT CLUBS","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.29257855","-6.28596720"
"714504.591","726979.291999999","4925","GRANGE GOLF CLUB","WHITECHURCH ROAD, DUBLIN 16","+353 1 493 2889","http://www.grangegolfclub.ie/","http://www.facebook.com/","@","No","No","No","No","No","No","No","No","No","No","No","No","Golf Club","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","No","SportsRecreationClubs","","+53.28075477","-6.28293071"
"711613.49","726551.685000001","4926","KNOCKLYON UNITED FOOTBALL CLUB","GLENLYON PARK, DUBLIN 16","","http://www.knocklyonunitedfc.yourclub.ie/","","","No","No","No","No","No","No","No","No","No","No","No","No","ACTIVITIES OF SPORT CLUBS","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","Sports and Recreation Clubs","","+53.27752968","-6.32641419"
"710714.193","727604.509","5325","TALLAGHT WARRIORS RUGBY YOUTH CLUB","BOLBROOK ENTERPRISE CENTRE, AVONMORE ROAD, DUBLIN 24","+353","http://","http://www.facebook.com/","@","No","No","No","No","No","No","No","No","No","No","No","No","Rugby Sports","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.28717589","-6.33952578"
"713186.3183","727216.247400001","6808","Ballyboden St. Endas GAA","Sancta Maria","01 494 7950","http://www.bodengaa.ie","http://www.facebook.com/","@","No","No","No","No","No","No","No","No","Yes","No","Yes","No","GAA Pitches and All Weather Facilities","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","No","SportsRecreationClubs","","+53.28316628","-6.30260512"
